date,Open,High,Low,Close,Volume,Ticker
2025-10-01 08:09:00,2.5000,2.5275,2.5000,2.5200,30256.0000,AIHS
2025-10-01 08:08:00,2.5313,2.5391,2.4800,2.5000,58466.0000,AIHS
2025-10-01 08:07:00,2.5600,2.5600,2.5300,2.5315,29677.0000,AIHS
2025-10-01 08:06:00,2.5646,2.5798,2.5500,2.5500,15742.0000,AIHS
2025-10-01 08:05:00,2.6000,2.6000,2.5600,2.5770,43959.0000,AIHS
2025-10-01 08:04:00,2.5500,2.6200,2.5500,2.6000,45453.0000,AIHS
2025-10-01 08:03:00,2.5500,2.5672,2.5500,2.5672,9450.0000,AIHS
2025-10-01 08:02:00,2.5700,2.5800,2.5500,2.5508,32090.0000,AIHS
2025-10-01 08:01:00,2.5750,2.5850,2.5700,2.5700,5245.0000,AIHS
2025-10-01 08:00:00,2.5800,2.5900,2.5800,2.5800,6218.0000,AIHS
2025-10-01 07:59:00,2.5800,2.6099,2.5700,2.5950,12516.0000,AIHS
2025-10-01 07:58:00,2.5700,2.5800,2.5700,2.5707,24578.0000,AIHS
2025-10-01 07:57:00,2.5800,2.5899,2.5700,2.5709,26440.0000,AIHS
2025-10-01 07:56:00,2.5802,2.5892,2.5800,2.5800,5341.0000,AIHS
2025-10-01 07:55:00,2.5713,2.5999,2.5709,2.5810,6674.0000,AIHS
2025-10-01 07:54:00,2.5830,2.5949,2.5700,2.5730,21303.0000,AIHS
2025-10-01 07:53:00,2.5900,2.6000,2.5800,2.5850,6333.0000,AIHS
2025-10-01 07:52:00,2.6250,2.6250,2.5800,2.5999,20755.0000,AIHS
2025-10-01 07:51:00,2.6250,2.6250,2.6200,2.6200,2210.0000,AIHS
2025-10-01 07:50:00,2.6127,2.6200,2.6127,2.6200,1705.0000,AIHS
2025-10-01 07:49:00,2.6300,2.6596,2.6100,2.6100,21123.0000,AIHS
2025-10-01 07:48:00,2.6800,2.6890,2.6300,2.6400,36096.0000,AIHS
2025-10-01 07:47:00,2.6600,2.7000,2.6600,2.6879,83451.0000,AIHS
2025-10-01 07:46:00,2.6200,2.6800,2.6101,2.6500,69687.0000,AIHS
2025-10-01 07:45:00,2.6099,2.6300,2.6050,2.6291,14076.0000,AIHS
2025-10-01 07:44:00,2.6249,2.6249,2.5800,2.6009,46329.0000,AIHS
2025-10-01 07:43:00,2.6208,2.6399,2.6201,2.6250,8659.0000,AIHS
2025-10-01 07:42:00,2.6102,2.6300,2.6000,2.6207,11191.0000,AIHS
